paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma prime size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110
G.M. Han et al.,L,760,790,107,35.57,10.66,0.45,0.36244,65.583,27.69,-0.608,0.477439,0.922806893
G.M. Han et al.,M,760,790,3,45.87,13.53,0.45,0.36244,65.583,27.69,-0.608,0.433293,0.981061314
G.M. Han et al.,N,760,790,11.5,42.3,24.35,0.45,0.36244,65.583,27.69,-0.608,0.414358,0.830989145
G.M. Han et al.,O,760,790,4,45.97,31.43,0.45,0.36244,65.583,27.69,-0.608,0.343763,0.98658378
G.M. Han et al.,P,760,790,20,49.26,29.73,0.45,0.36244,65.583,27.69,-0.608,0.343806,0.932616068
G.M. Han et al.,Q,760,790,10,42.08,29.03,0.45,0.36244,65.583,27.69,-0.608,0.382405,0.924585191
G.M. Han et al.,A SRR99,1040,165,135,5.273,40.308,0.45,0.36462,56.896,40.472,-0.252,0.439109,0.993830689
G.M. Han et al.,B,1040,165,148,6.936,39.646,0.45,0.36462,56.896,40.472,-0.252,0.442002,0.987033995
G.M. Han et al.,C,1040,165,145,11.067,33.993,0.45,0.36462,56.896,40.472,-0.252,0.471042,0.994102437
G.M. Han et al.,D,1040,165,129,20.21,30.631,0.45,0.36462,56.896,40.472,-0.252,0.47238,0.909126127
G.M. Han et al.,E,1040,165,126,13.91,32.665,0.45,0.36462,56.896,40.472,-0.252,0.476651,0.963390405
G.M. Han et al.,F,1040,165,175,18.323,29.274,0.45,0.36462,56.896,40.472,-0.252,0.486308,0.935956225
G.M. Han et al.,G,1040,165,150,22.951,24.096,0.45,0.36462,56.896,40.472,-0.252,0.497714,0.925509429
G.M. Han et al.,H,1040,165,213,25.047,25.117,0.45,0.36462,56.896,40.472,-0.252,0.487873,0.876273128
G.M. Han et al.,I,1040,165,170,27.743,27.541,0.45,0.36462,56.896,40.472,-0.252,0.462929,0.884712342
G.M. Han et al.,J,1040,165,146,30.282,15.272,0.45,0.36462,56.896,40.472,-0.252,0.491704,0.950421392
G.M. Han et al.,K,1040,165,185,52.01,32.393,0.45,0.36462,56.896,40.472,-0.252,0.309586,0.967934597
