paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma_prime_size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110,y_log10,T_K,Inv_T_K,Log_Stress,cos_001,cos_011,RSS_110,Log_RSS_110,
mackay,I,774,724,0.5,43,6.5,0.3,0.36237,65.455,28.681,-0.392,0.444032,0.931200904,-0.301029996,1047.15,0.954973022,2.859738566,0.731353702,0.993571856,321.479168,2.507152836,
mackay,J,774,724,14,8,39.5,0.3,0.36237,65.455,28.681,-0.392,0.441365,0.994294971,1.146128036,1047.15,0.954973022,2.859738566,0.990268069,0.771624583,319.54826,2.504536457,
mackay,K,774,724,26,9.5,36,0.3,0.36237,65.455,28.681,-0.392,0.462839,0.986565523,1.414973348,1047.15,0.954973022,2.859738566,0.986285602,0.809016994,335.095436,2.525168513,
mackay,L,774,724,41,5.5,40.5,0.3,0.36237,65.455,28.681,-0.392,0.437585,0.992118103,1.612783857,1047.15,0.954973022,2.859738566,0.995396198,0.760405966,316.81154,2.500800993,
mackay,M,774,724,53,10.5,35,0.3,0.36237,65.455,28.681,-0.392,0.467578,0.984659244,1.72427587,1047.15,0.954973022,2.859738566,0.983254908,0.819152044,338.526472,2.529592635,
mackay,N,774,724,53,5.5,41,0.3,0.36237,65.455,28.681,-0.392,0.433947,0.991427525,1.72427587,1047.15,0.954973022,2.859738566,0.995396198,0.75470958,314.177628,2.497175257,
mackay,O,774,724,59,2,43.5,0.3,0.36237,65.455,28.681,-0.392,0.418574,0.998824581,1.770852012,1047.15,0.954973022,2.859738566,0.999390827,0.725374371,303.047576,2.481510815,
mackay,P,774,724,74,4,42,0.3,0.36237,65.455,28.681,-0.392,0.428166,0.995429343,1.86923172,1047.15,0.954973022,2.859738566,0.99756405,0.743144825,309.992184,2.491350744,
mackay,Q,774,724,80,5.5,41,0.3,0.36237,65.455,28.681,-0.392,0.433947,0.991427525,1.903089987,1047.15,0.954973022,2.859738566,0.995396198,0.75470958,314.177628,2.497175257,
mackay,R,774,724,82,7.5,39,0.45,0.36237,65.455,28.681,-0.392,0.445864,0.985441749,1.913813852,1047.15,0.954973022,2.859738566,0.991444861,0.777145961,322.805536,2.508940974,
mackay,S,774,724,90,4,41.5,0.45,0.36237,65.455,28.681,-0.392,0.431743,0.996189863,1.954242509,1047.15,0.954973022,2.859738566,0.99756405,0.748955721,312.581932,2.494963871,
mackay,T,774,724,98,5,40,0.45,0.36237,65.455,28.681,-0.392,0.440593,1,1.991226076,1047.15,0.954973022,2.859738566,0.996194698,0.766044443,318.989332,2.503776159,
mackay,U,774,724,109,1.5,43.5,0.45,0.36237,65.455,28.681,-0.392,0.418652,1,2.037426498,1047.15,0.954973022,2.859738566,0.999657325,0.725374371,303.104048,2.481591736,
mackay,V,774,724,141,2,43,0.45,0.36237,65.455,28.681,-0.392,0.42199,1,2.149219113,1047.15,0.954973022,2.859738566,0.999390827,0.731353702,305.52076,2.485040726,
1988,CMSX-4 01,760,750,1900,0,45,0.34,0.36289,64.865,23.096,-0.776,0.408248,1,3.278753601,1033.15,0.967913662,2.875061263,1,0.707106781,306.186,2.485985329,
1988,CMSX-4 02,760,750,1050,0,45,0.22,0.36289,64.865,23.096,-0.776,0.408248,1,3.021189299,1033.15,0.967913662,2.875061263,1,0.707106781,306.186,2.485985329,
